EN124_r06c15_Dep03Ch17_F01/0/07/2	2970.00	0	0	1	0	7	3366	23166	23555	23044	23018	0_Good
EN125_r06c16_Dep03Ch18_F01/0/07/3	2505.60	0	0	1	0	7	3366	23166	23555	23044	23018	0_Good
EN104_r05c17_Dep03Ch15_F01/0/08/0	2060.40	0	0	1	0	8	3366	23052	23358	22988	22853	0_Good
EN126_r06c17_Dep03Ch19_F01/0/08/2	2433.60	0	0	1	0	8	3366	23052	23358	22988	22853	0_Good
EN105_r05c18_Dep04Ch12_F01/0/08/1	2556.00	0	0	1	0	8	3366	23052	23358	22988	22853	0_Good
EN127_r06c18_Dep04Ch16_F01/0/08/3	2512.80	0	0	1	0	8	3366	23052	23358	22988	22853	0_Good
EN106_r05c19_Dep04Ch13_F01/0/09/0	3921.00	0	0	1	0	9	3366	22882	23351	22785	22912	0_Good
EN107_r05c20_Dep04Ch14_F01/0/09/1	3779.40	0	0	1	0	9	3366	22882	23351	22785	22912	0_Good
EN128_r06c19_Dep04Ch17_F01/0/09/2	3630.00	0	0	1	0	9	3366	22882	23351	22785	22912	0_Good
EN129_r06c20_Dep04Ch18_F01/0/09/3	3397.80	0	0	1	0	9	3366	22882	23351	22785	22912	0_Good
EN108_r05c21_Dep04Ch15_F01/0/10/0	2988.00	0	0	1	0	10	3366	23134	23210	22922	22791	0_Good
EN130_r06c21_Dep04Ch19_F01/0/10/2	3031.80	0	0	1	0	10	3366	23134	23210	22922	22791	0_Good
EN109_r05c22_Dep23Ch03_F01/0/10/1	2177.40	0	0	1	0	10	3366	23134	23210	22922	22791	0_Good
EN131_r06c22_Dep23Ch04_F01/0/10/3	2257.20	0	0	1	0	10	3366	23134	23210	22922	22791	0_Good
EN177_r09c02_Dep00Ch28_F05/0/00/1	2011.20	0	0	5	0	0	3366	21684	22157	21499	21534	0_Good
EN199_r10c02_Dep05Ch00_F05/0/00/3	2346.60	0	0	5	0	0	3366	21684	22157	21499	21534	0_Good
EN176_r09c01_Dep22Ch07_F05/0/00/0	1906.20	0	0	5	0	0	3366	21684	22157	21499	21534	0_Good
EN198_r10c01_Dep22Ch08_F05/0/00/2	2318.40	0	0	5	0	0	3366	21684	22157	21499	21534	0_Good
EN178_r09c03_Dep00Ch29_F05/0/01/0	2173.80	0	0	5	0	1	3366	22331	23098	22130	22493	0_Good
